,Dataset,CoQA,,,,SQuAD,,,,TriviaQA,,,,NQ,,,
LLM,Methods,AUCr,AUCs,PCCr,PCCs,AUCr,AUCs,PCCr,PCCs,AUCr,AUCs,PCCr,PCCs,AUCr,AUCs,PCCr,PCCs
OPT-1.3B,Perplexity,0.701111473,0.688241886,0.354812627,0.319186046,0.628446008,0.598537974,0.194667609,0.112323134,0.775628552,0.78442383,0.348031742,0.330279302,0.759958992,0.70809894,0.22852596,0.205112975
,Energy,0.564729465,0.562932352,0.100053052,0.091391989,0.462091375,0.431121286,-0.062625208,-0.117950796,0.641526413,0.665508777,0.162678938,0.21846702,0.55586391,0.561485973,0.072263455,0.165314608
,Lexical Similarity,0.742131844,0.731753393,0.414175936,0.413859636,0.72911504,0.698869657,0.412088422,0.342393947,0.750491636,0.734920246,0.343413447,0.263865482,0.726696346,0.65631564,0.257966309,0.147763151
,LN-Entropy,0.720800861,0.710373241,0.382875741,0.361018384,0.72410562,0.704308526,0.347079783,0.287279955,0.762543554,0.762203112,0.33586738,0.277148489,0.771074686,0.698851976,0.261057949,0.168358048
,EigenScore,0.73236427,0.731784397,0.407494301,0.424907871,0.769922712,0.784754956,0.476150596,0.443201845,0.77467728,0.772963841,0.349828279,0.362758322,0.767139808,0.770977631,0.261510745,0.347366081
,Factoscope,/,/,/,/,/,/,/,/,0.732977975,0.719990654,0.327828279,0.25446702,0.740363443,0.73509894,0.235942287,0.297078742
,LHDNA,0.771292915,0.766686601,0.438839855,0.467411774,0.791408816,0.798807406,0.487977041,0.460870493,0.778413398,0.791218885,0.373317586,0.395022623,0.79069958,0.798680919,0.297427309,0.38717197
OPT-2.7B,Perplexity,0.716186815,0.697059927,0.374830908,0.338342246,0.598537044,0.580055477,0.151463599,0.093959717,0.805212901,0.807260208,0.447941419,0.429093241,0.743520061,0.740346728,0.278006013,0.310460228
,Energy,0.593957834,0.590004957,0.137324113,0.133596021,0.410563163,0.383016903,-0.15359176,-0.194580303,0.678112072,0.694922018,0.255021316,0.299550118,0.591978581,0.613152698,0.120228386,0.178766721
,Lexical Similarity,0.74449275,0.741038691,0.442163627,0.421760965,0.721984391,0.709792816,0.424103667,0.358506997,0.782508669,0.771606776,0.437143614,0.361545272,0.722338511,0.657688289,0.255378093,0.17991279
,LN-Entropy,0.736119149,0.71844825,0.397979069,0.37175866,0.696809468,0.690052973,0.331525765,0.284391601,0.793720383,0.791441447,0.421489209,0.361076028,0.734560141,0.693998852,0.252000999,0.205472379
,EigenScore,0.747131938,0.741541105,0.434443063,0.436944812,0.797076402,0.792408404,0.457553236,0.437607244,0.790970693,0.795271673,0.422535553,0.421519548,0.756919439,0.76239667,0.264855771,0.32637459
,Factoscope,/,/,/,/,/,/,/,/,0.782508669,0.775794786,0.416836175,0.359037876,0.734420821,0.675864125,0.253377792,0.21264538
,LHDNA,0.761839599,0.75137515,0.4564795,0.462628405,0.80328364,0.798435239,0.476386087,0.461547412,0.797442677,0.795687899,0.45173712,0.432230786,0.771159553,0.779863375,0.296433657,0.379367882
OPT-6.7B,Perplexity,0.7043911,0.677410643,0.349337811,0.297228845,0.593479385,0.585578521,0.151233255,0.086895577,0.810516954,0.826277511,0.507297631,0.486627889,0.770147034,0.765574813,0.302087604,0.324189025
,Energy,0.568588257,0.556655027,0.098402276,0.071172625,0.43312469,0.415294674,-0.132691688,-0.164624545,0.687600864,0.705790796,0.310542005,0.371506245,0.585812935,0.603792874,0.103440435,0.254975664
,Lexical Similarity,0.760836851,0.753947327,0.458382115,0.445940668,0.732439894,0.722371153,0.458766779,0.392071423,0.799547359,0.785846454,0.531029769,0.435066575,0.758372705,0.725338045,0.308237965,0.24113167
,LN-Entropy,0.739726024,0.718320757,0.395431509,0.368673314,0.676168326,0.674032884,0.303999162,0.237537339,0.806123818,0.803415942,0.484856225,0.42729873,0.767662394,0.744398805,0.300040495,0.275703649
,EigenScore,0.752378229,0.748164743,0.439623052,0.449993458,0.792726638,0.796859337,0.473094943,0.478422627,0.80440715,0.804857844,0.48782926,0.487725634,0.773794207,0.780740162,0.322275739,0.325496596
,Factoscope,/,/,/,/,/,/,/,/,0.802695042,0.804562465,0.482435893,0.494872993,0.763307199,0.758395488,0.307012784,0.261072103
,LHDNA,0.794008413,0.773349886,0.478262568,0.472227723,0.820119887,0.816274259,0.516522024,0.480342691,0.809384886,0.817974005,0.490965356,0.497376478,0.790893175,0.793838655,0.367844745,0.365103779
Qwen2-7B,Perplexity,0.686178097,0.652304847,0.26873128,0.210024444,0.425726176,0.409098543,-0.094811972,-0.140824623,0.862174921,0.862411401,0.584289343,0.585093658,0.763573399,0.763720901,0.364627985,0.387482025
,Energy,0.535939807,0.518457352,0.053075009,0.030927345,0.362520798,0.356070929,-0.236859113,-0.265134581,0.72020356,0.730926943,0.362459094,0.387335544,0.592106196,0.615426472,0.145115514,0.203538284
,Lexical Similarity,0.780251147,0.785220683,0.492650184,0.475438727,0.711861743,0.674747534,0.417661118,0.361792844,0.834075135,0.820341873,0.583880043,0.562818077,0.770622451,0.747983828,0.383494263,0.368743121
,LN-Entropy,0.735602301,0.712823538,0.34637531,0.300681951,0.530250777,0.501570704,0.078505783,0.025367091,0.837542453,0.837751601,0.562216538,0.536353934,0.771341428,0.765728755,0.370606631,0.371740391
,EigenScore,0.789074106,0.774430357,0.497328473,0.491058919,0.738373465,0.717963543,0.482496123,0.428503254,0.8251805,0.822402224,0.566995899,0.564033833,0.769765388,0.766479042,0.388137304,0.384735288
,Factoscope,/,/,/,/,/,/,/,/,0.810868597,0.811317145,0.534415586,0.548301637,0.76247337,0.752532929,0.364627985,0.377482025
,LHDNA,0.799447818,0.792862301,0.514731702,0.526941159,0.763172116,0.734863872,0.497485123,0.438020636,0.868707404,0.865294855,0.585631193,0.571714721,0.794620746,0.792833107,0.4381858,0.394335169
LLaMA3-8B,Perplexity,0.716724703,0.677655295,0.329236903,0.260370149,0.465338721,0.454155044,-0.019985491,-0.076320951,0.845130808,0.845164015,0.579678003,0.565230221,0.764994883,0.764232503,0.385026042,0.40934172
,Energy,0.546716192,0.510398065,0.051931862,0.01468992,0.361025262,0.358759621,-0.256005834,-0.281504721,0.673211067,0.676178365,0.312967756,0.329681056,0.593374263,0.605820784,0.170434041,0.225187668
,Lexical Similarity,0.774363506,0.769262489,0.526383917,0.487347957,0.680128314,0.653747011,0.354078369,0.314835574,0.833471174,0.815220068,0.59702377,0.551096442,0.75035854,0.758531134,0.454360577,0.405430437
,LN-Entropy,0.754311289,0.722957459,0.387202072,0.331351441,0.583607316,0.566333622,0.177466752,0.125036467,0.824956054,0.828936205,0.543185755,0.525931047,0.767885141,0.761186507,0.388132295,0.404497456
